lang_id,text
zul,i-tip-offs anonymous wusizo locingo oluzimele futhi olutholakala ngazo zonke izikhathi olukuvumela ukuthi ubike noma yiziphi izenzo ezingalungile ezenzeka emsebenzi ngaphandle kokuthi udalulwe akekho umuntu ozokwazi uma kukhona oqwashise ngakho uhlala ungaziwa
ssw,tekulima lokufaka ekhatsi yonkhe imisebenti yetemnotfo levela kulokufakwa ngutekulima kulima kanye nekungeta kubaluleka kuyohlala kungumkhakha lobalulekile etikwemnotfo waseningizimu afrika nanome inemtselela lomncane kuyo yonkhe i-gross domestic product gdp
zul,noma yiliphi ilungu lombutho wezokuvikela elingazihluphi ukwazisa umphathisikhundla obekiwe ngekheli lalo kanye nokunye ukuguquka kwemininingwane njengoba kungahle kubekwe linecala futhi ekulahlweni yicala angakhokhiswa inhlawulo noma agqunywe ejele isikhathi esingedluli izinyanga eziyisithupha
nso,c a fa tumelelo ya go hloma go aga goba go bea goba go bea sehlangwa goba selo se sengwe go ka godimo ga goba ka tlase ga ditsela tša porofense goba diseporo goba lefelo leo kago e thibelwago goba ya go dira diphetogo tša tlhamo goba koketšo go sehlangwa goba selo seo se lego fao
tso,migingiriko ya cbnrm hinkwayo yi katsa ku tumbuluxiwa ka ntirhisano exikarhi ka vatirhi vo hambana ntirhisano leyi yi hi swivumbeko swo tala naswona yi tala ku va ni nkoka eka ku humelela kumbe ka migingiriko
zul,amalungu nabangabasebenzi banelungelo lokwenza izicelo umkhandlu nezimenenja ezibekiwe unelungelo lokwenqaba nokukhipha imininingwane eyimfihlo noma ehlobene ngokunomqondo nokuqondisisa kahle ngomsebenzi wesikhala somsebenzi ngenhloso yokuhlola
sot,ka ho mengwa lefapheng la lona diprofeshenale tsa tlhokomelo ya bophelo tsa gems di tla hloma sebaka sa diteko tsa bophelo bo botle lefapheng la lona basebetsi bohle ba leng moo ba tla kgona ho ya ka boithaopo tekolong ya bophelo bo botle letsatsi lohle
nbl,isitifikhethi somtjhado esingakarhunyezwa namkha ukwenziwa butjha kwerejista efaneleko namkha omunye nomunye umtlolo osekelako ofakwa kurejista etjhiwoko ukhutjhwa nelwazi lokuqinisekisa elibuya erejisteni yomtjhado
tsn,maikemisetso a magolo a lenaneo ke go phasalatsa ditlamelo le ditshono tsa dikgwebo go maatlafatsa ikonomi ya baagi ba selegae gore ba kgone go itumelela melemo ya ditshono tsa leruri tsa ditiro le seemo se se tokafetseng sa botshelo
tsn,ngaka van der nest tlametse kopano ka molebo-kakaretso wa tsamaiso ya theko e e latelwang le go itsise maloko a a leng teng gore sizwentsaluba vsp e tlhagisitswe go thapiwa ka mokgwa wa tsamaiso e e bulegileng e e bonalang transparent
tso,u lava yini laha he mufana va xi vutisa hi afrikaans xi tin waya nhloko afrikaans a yi nga pfuki va va na tintswalo va xi vutisa hi xinghezi xi va byela leswaku a xi yimerile mashimbye va xi vutisa loko terekere leyi yi ri ya le stofkrag xi pfumela va yima va nga fambi
eng,if the post of accounting officer is vacant or if the accounting officer is unable to perform the functions of the post those functions must be performed by another official designated in writing by the executive authority
ssw,uma ngabe make ufaka sicelo sekuba namatisi bese ucala kusebentisa nobe ngusiphi sibongo bekatiwa ngaso ekucaleni ufanele aletse bufakazi baloko sibonelo ufanele aletse sitifiketi sekutalwa nobe semshado njengebufakazi bekutsi vele leso sibongo ngesakhe
zul,kanti-ke abantu namhlanje bangabhekana nengozi yokuthi ukufezeka kwalezi zinhloso kungahlehliswa ngeminyaka eminingi uma kungeyiwo amashumi eminyaka ngenxa yenhlekelele yezomnotho ekhungethe umhlaba jikelele
nbl,ukuhlelwa kwezehlakalo ezihlukeneko ukusuka ekhonferensini yesithathu yonyaka yethungelelwano leentjhabatjhaba lokwehluka ngamasiko incd ekapa ukuya ekwembathiseni ngehlonipho nemisebenzi yokubulungwa kweensalela zakasarah baartman
ssw,ingabe sewutfolile futsi wabambisa indzawo lekutawubanjelwa kuyo imihlangano yelikomidi leliwadi khumbula kutsi lendzawo ifanele ibe yindzawo yesive hhayi nje indzawo yangasense njengelikhaya lemuntfu loku ngulokumiswe ngumtsetfo
xho,langa eli xesha nesizathu salo zingasinika amandla sonke ukuze sibumbane ngenkxaso kumbono wethu wokwenza intshona koloni ikhaya lethu sonke ngokuthi sikhumbule abahlelelekileyo abo bangenabantu nabo badingayo
sot,batho ba bangata ba hlwaya diphoso ho boraditaba bao ka nako e nngwe ba hlahisang tseo re sa batleng ho di kgothaletsa taba ya hore mapolesa a hlolehe ho qobella toka makgotla a dinyewe le ditshebeletso tsa tshokollo ya batshwaruwa kapa mmuso o tshwauwe phoso
eng,a total of units were tested during the reporting period with samples representative of the four approved scsrs i e draeger oxyboks k mk msa ssr afroxpac and ocenco m being submitted there was an improvement in the number of participating mines
sot,hata butle ha o sebetsana le dikamano tsa matla boemong ba selehae cbnrm ke leano le laolwang ho latela demokerasi jwang kapa jwang le tla tshosa ba bang ka nako e nngwe hona ho ke ke ha qojwa empa wena leka ho qoba ka hohle ka moo o ka kgonang
afr,n persoon wat wil vasstel of hulle met miv geïnfekteer is kan na n kliniek of enige openbare gesondheidsfasiliteit gaan vir vrywillige toetsing en berading vtb vrywillig beteken dat die persoon self besluit om die toets te ondergaan niemand kan gedwing word om n miv-toets te ondergaan nie
tso,endla leswaku swakudya leswi tolovelekeke ngopfu swi tala ku tlula leswin wana nkarhi hinkwawo loko u dya swakudya leswi ku nga ha va mugayo xinkwa rhayisi mazambhani kumbe swin wana swakudya leswi swi nga na xitachi leswi u nga vaka u ri na swona
ssw,licophelo lelisetulu - lokucuketfwe kusecophelweni lelisetulu futsi kunekuticambela - imibono inekujula kwemcondvo futsi iyajabulisa futsi iyakholweka -imininingwane yetigameko itfutfuka ngalokubumbene
tsn,o rekile polase ya gagwe ya lemoenkloof mo sedikeng sa jagersfontein ka ka kadimo go tswa landbank polase ya gagwe e bogolo jwa ha ka masimo a ha le phulo ya ha xolile o dira temothuo ya gagwe ka mmidi dikgomo dikolobe dikoko le merogo
zul,amagama aphakanyisiwe abantu abangaqokwa ngokwesigaba c somthetho kumele athunyelwe kungqongqoshe wesifundazwe noma ilunga lomkhandlu ophethe elibhekele ezempilo kuleso sifundazwe lapho inyanga isebenzela khona kakhulukazi
eng,the department plays a prominent and active role in the world trade organisation particularly by supporting the consolidation of the g group of developing countries to ensure that the interests of developing countries are represented in the industrial tariff negotiations
tso,a ku tsundzuxa huvo eka nhlayo leyi pimiweke ya muhlovo wunwana na wunwana wa mpfumelelo lowu yelanaka na wa tikhasino rheyisisi vugembuli na wejarini leswaku yi fanekele ku nyikiwa eka riphabliki kumbe eka xifundzankulu xinwana na xin
tsn,tshedimosetso e e neetsweng ke motho mongwe le mongwe kgatlhanong le ngwana kwa lefelong la dipatlisiso tse dirwang pele ga tsheko ga e a tshwanelwa go dirisiwa mo kopong nngwe le nngwe ya beili go ikarabela mo tatofatsong tsheko kgotsa mo ditsamaisong tsa katlholo
afr,gemeenskap van goedere - n manier om besittings in n huwelik te verdeel al die besittings geld en eiendom wat aan elke persoon behoort wanneer hulle trou en alles wat gedurende die huwelik versamel is word gedeel
eng,what i will do however is spend a few moments reflecting on the lessons of the crisis for the south african government both from an economic perspective and a financial policy one i will conclude with some thoughts on where the global regulatory debate is going and how we as a nation should respond
afr,regtehouers met vaartuie in eie vol of deels besit op enige swartlys sal nie vir visvangregte in aanmerking kom nie persone wat sodanige vaartuie vir gebruik in kommersiële visvangbedryf nomineer sal ook uitgesluit word
xho,abafaki-zicelo abadla umhlala-phantsi ncedani nigcwalise ifomu u-m no-z engqina inkxaso-mali yesebe lecandelo lolawulo-mali ukuba ngaba unayo ikopi yeleta yecandelo lolawulo-mali likazwelonke nceda uyiqhoboshele kwifomu yesicelo njengoko iza kunceda ukuba ihambe lula inkqubo yokubhalisa
tsn,kgotlhang bothata selwelwa kgotlhang bothata ke ntwa ngangisano e e nnang teng fa gare ga badiragatsi kgotlhang e mela mo morerong yona e ka nna fa gare ga badiragatsi ba terama jaana motho le motho motho le batho batho le batho motho le tikologo motho le maikutlo a gagwe
sot,sebolayalehola se sebediswa mobung ha ho se ho lenngwe ka motjhine empa nakonyana e itseng pele sejalo se jalwa ka tlwaelo se tswakwa le mobunyana o seng mokae ka ho sebedisa disebediswa tse fapaneng tsa ho tswakanya
tso,psoriasis vadzahi va na kwalomu ka mbirhi ku yisa eka nharhu ku tumbuluka psoriasis vuvabyi bya nhlonge xiyimo xa nhlonge xo khwanyala xi siya nhlonge yi hlohlonya yi huma swimbhovana swo tshuka miri hinkwawo
ssw,sikhalo sakhe safika ehhovisi lemvikeli wesive i- opp ngameyi ngemuva kwekutsi liphephandzaba lesifundza laselimpopo i-capricorn voice ishicilele indzaba yakhe i- opp yazubela khona kucala luphenyo lwayo kuloludzaba
nbl,kuye kwenziwa imizamo eminengana ngeencwadi zangokomthetho ukulilisa imitato imihlangano evulekileko nomnyango wesitjhaba ikomiti encani etjheja lokhu isalindele ipendulo emnyangweni umsizi-mnqophisi ube nemihlangano eminengana neenkhulu zomnyango wezefundo eprovinsini yegauteng
afr,lede van die groep kunstenaars het uitgestal by die toerismeskou kleinsakeweek en in die kunstekaap marmervoorportaal kunstekaap kaapstad in maart tydens die kaapstadfees die departement het die werke van kunstenaars uit die wes-kaap ingeskryf vir positief
tsn,prof frikkie van niekerk mokaedi wa setheo sa merero ya badiri baithuti boitshimololedi le dipatlisiso o ne a bolelela herce-vigil ka ga hisetori ya yunibesithi gammogo le photefolio ya yona ya ditshwanelo tsa botlhalefi
tso,layisense yi va yi nyikiwile naswona xitifiketi xa layisense xi va xi nyikiwa eka munhu ku ya hi xiyenge lexi a yi hundziseriwi eka unwana munhu hlengeleta hinkwaswo swiviko eka probiti ya rixaka yo tsarisa leyi nga hlamuseriwa ndlela ya kahle na xivumbeko
ssw,loko kwesaba nekungavikeleki kwenta kutsi kube neminyaka yekuphikisa kuloku sibonga lichawe lakitsi lelaba nesibindzi solomon kalushi mahlangu lowatiphanyeka eminyakeni lengu- leyengca inhloko yakhe ibheke etulu ngelwati lwekutigcabha kutsi ingati yakhe itawutselisa sihlahla senkhululeko
afr,taal geletterdheid en kommunikasie wiskundige geletterdheid wiskunde en die wiskundige wetenskappe die kunste en kultuur lewensoriëntering die mens- en sosiale wetenskappe die ekonomiese en bestuurswetenskappe die natuurwetenskappe tegnologie
tso,mimpfuno leyi mukomberi a nga na mfanelo ya yona hi ku landza swipimelo swa na ku iii fanele ku hakeriwa mani c pfumelela hakelo ya mimpfuno na ku d lerisa ndlela leyi mimpfuno yi faneleke ku hakeriwa ha yona
sot,a ka hloka hore motho ofe kapa ofe ya nang le taolo kapa ya tshwereng tokomane efe kapa efe ho kenyeletswa empa ho sa fellwa ho moralo buka kapa rekoto hore motho eo a hlahise tokomane eo hang hang ho mohlahlobi kapa nako efe kapa efe e nngwe le sebakeng se batlwang ke mohlahlobi
zul,iningi lobuthi obuqukethwe wugwayi bungena emntwaneni ongakazalwa buhamba ngegazi likamama okunye wukuthi kulelo gazi umntwana angeke athole i-oksiyini eyanele nezakhamzimba azidingayo ukuze akhule kahle yingakho ubhema ugwayi kuyingozi emntwaneni ongakazalwa
nso,ka kgonthe phepo a ya swanela go feta metsotso e le sekamehla sa go nyanya se swanetše gore se hlongwe ka pela ka mo go ka kgonagalago ka morago ga pelego lesea le ka fepiwa ga ntšhi go feta lesea leo le se na go lepharo ka tekanyetšo ga raro ka letšatši
nso,manaeo a kgatelopele - ke setlabakelo sa go dirišwa mo mafelelong a ngwaga sa go ngwalolla kgatelopele ya baithuti ka moka mo kreiting go akaretšwa dikhoutu tša kgatelopele mo go a re ya go ithuta ye nngwe le ye nngwe le kreiti ye nngwe le ye nngwe go akaretšwa ditshwaotshwaothekgo ge go tsomega
xho,intsilelo ligcisa ukthobela ukuziphatha okumiselwe yimithetho okanye isihlomelo kule mithetho liya kumisela isenzo okanye ukungenzi apho ibhodi iya kuthatha amanyathelo olwaluleko ngokwesahluko iv somthetho
afr,● word alle nodige dienste op die terrein voorsien voordat daar met die werk begin word en het jy ook bepaal watter dienste tans wel op die terrein beskikbaar is bv elektriese kabels of gashoofleiding en effektiewe stappe gedoen indien nodig om enige gevaar wat daaraan verbonde is te voorkom
nso,ka matšatši a diphadišano ditimela tšeo di beetšwego fela dipapadi di tla be di sepela go tloga johannesburg park station le go tloga setitšhing sa ka germiston go ya setitšhing sa rissik ka hatfield le go boela morago ka morago ga papadi
afr,in gevalle waar munisipale eiendomme verhuur word sal die hoof finansiële beampte die jaarlikse eiendomsbelastingheffing met betrekking tot die eiendom wat verhuur word by die huurbedrag insluit in plaas daarvan om dit afsonderlik te verreken en te verhaal soos in die geval van n privaat eienaar
tso,c famba na xiviko lexi kombisaka leswaku xiombelo xi fambelana ku fika kwihi ni swilaveko leswi amukeriweke swa nongonoko wa mafambisele ya swa mbangu mpfuxo lowu nga ta hetisiwa na mpimanyiso wa ntsengo wa kona no d katsa nongonoko wa mbalango hi vuxokoxoko swa nkarhi wo pfuxetiwa
tsn,kopano ya molao wa molaotheo wa aforika borwa e itsiwe jaaka molaotheo wa ntlha o o tshwayang kemonosi ya teng go tswa pusong ya borithane mme baagi botlhe ba ne ba lemogiwa porofensi nngwe le nngwe e ne e na le palamente ya yona sekao cape of good hope orange free state natal le transefala
tso,xana u tshama u vona thekisi yi famba yi voyamela tlhelo rinwe tanihi nkonkotso wolowo i ndzinganiso wo ka wu nga lulamanga wa mathayere a wu nge swi koti ku lawula xifambo xa wena hi ku hetiseka leswi swi nga vanga nghozi
tso,leswi i mhaka ya leswaku ku cinca loku nga va kona eka minhlangano leyi hi ku ya hi matirhelo ya yona ya na masungulo ya yona eka ntolovelo wa timfanelo ta vanhu xivumbeko xa yona na mafambiselo ya yona ya vutihlamuleri
ssw,lelibhukwana licuketse umniningwano jikelele ngekulingwa kwetekwelashwa umniningwano ngco ngekulingwa kwetekwelashwa lofuna kuhlanganyela kuko nobe locelwa kutsi uhlanganyele kuko kumele uniketwe futsi utfolwe kubacwaningi bekulingwa
zul,uma ukusebenza kwesigwebo noma ingxenye yaso imisiwe ngokwesigatshana b futhi umkhandlu wanelisekile ukuthi lomuntu okukhulunywa ngaye uselandele yonke imibandela kuso sonke leso sikhathi esimisiwe umkhandlu kufanele wazise lowo muntu ukuthi isigwebo ekukhulunywa ngaso esigabeni ngeke sisasebenza
nbl,isewula afrika yabamba ithungelelwano lesihlanu leentjhabatjhaba lomthethomgomo wamasiko lomhlangano wabongqongqotjhe ukusuka mhlana amalanga naka- ukuya nakali- oktoba ngo- edorobheni lekapa umhlangano wakhanjelwa ziinarha ezimatjhumi amabili nanye kanti i-unesco yayimtjheji
tso,a hofisi ya museketeri wa muofisiri wa mahungu loyi a vekiweke loyi vuxokoxoko byo burisana na yena byi kombisiweke eka ndzimana ya laha henhla kumbe b yinwana na yinwana ya tihofisi ta provhinsi ta icd leti kombetiweke eka ndzimana ya eka manyuwali leyi
nbl,ukusa umlandu ekhotho khona uzakulalelwa kungaba yinto ehlangahlangeneko khulu khulu nayikuthikunesibalo sabantu abathintekako labo abaqalene nomlandu bazakwenza koke okusemandleni wabo ukuqinisekisa bonyana ulethwa ekhotho ngokurhaba okukghonekako
nbl,ingaphandle lekondlo yindlela ikondlo etlolwe ngayo ngilokho okubona lokha nawuqale ikondlo ngaphandle lokho okwenza bona uthi umtlolo lo uyikondlo lapho sisuke sikhuluma ngemida iindima ivumelwano ukubuyelela nerhobelo
xho,umntwana wakho ufanele ukuwonwabela lo msebenzi ungakhalazi xa enokukhetha into ocinga ukuba ayimlungelanga xaxa nomntwana wakho ngale nto ukuze afunde kuwe ukuba yintoni na enokumenza abe sempilweni entle iyintoni na enokumgulisa mbuze ukuba ukukhethe ngani na okakukhethileyo
ssw,kutfutfukisa bukhoni sungula sikhwama sekucecesha se-cbnrm kute kuhlale kutfutfukiswa emakhono ebantfu bendzawo kusebentisa imitfombolusito yabo futsi neyalabanye badlali bendzima bendzawo lokufaka ekhatsi baphatsi babomasipala kute bahlale bayincenye yalenchubo
ssw,sehluko imiphumela yekufundza emacophelo ekuhlola lokucuketfwe nesimongcondvo lesehluko sicuketse imiphumela yekufundza nemacophelo ekuhlola lahambelana nayo kanye nalokucuketfwe kanye netimongcondvo tekuzuza emacophelo ekuhlola
sot,sepheyo sa snabbds ke ho eketsa lenane la basebetsi ka ict le basebedisi ba tswang dibakeng tse neng di se na menyetla ho etsang ho be le kgonahalo e eketsehileng mesebetsing ya theknoloji e ntjha le boqolotsing ba ditaba snabbds e ikemiseditse ho boloka baithuti ba bangata e le ba batshehadi
eng,the department structurally operates within six geographic regions this means that some of the provinces have been lumped together to form one region the six regions are gauteng limpopo mpumalanga north west free state northern cape kwazulu-natal the western cape and the eastern cape
zul,leliphepha liqhakambisa amagama avele ekhona kwamanye amazwe nafakwe kithi ngencindezi ngokuhlukumeza awoselwa amagama oselwa ayenencazelo ngokomlando futhi eyigugu kubantu bokudabuka eningizimu afrika ngakho ukuwasusa kuchaza ukuqeda isiko kanye negugu labantu
xho,ubuchule benkonzo zamanzi buthetha nawuphi umhlaba apho kukho isakhiwo senkonzo eziluncedo ebantwini esifakelwe okanye esisetyenziswa ngumasipala okanye indawo eqokelela amanzi emvula enxulumene nonikezelo lwamanzi
sot,ho na le mananeo a thupello naheng ka bophara bakeng sa batsamaisi ba bommasepala bahlanka ba mesebetsi e ikgethang ditho tsa lekgotla le diprofeshenale tsa meralo tse kenyeletsang le ba bommasepala ba bang
ven,zwi fanela ua buliwa zwauri naho khethekanyo ya a ya cpa u sa tou tenmda zwavhui kha u shumiswa ha maana kha u setsha arali yo vhaliwa na khethekanyo ya ya cpa u nga dzhiiwa zwauri u khou amba uri hu vhe na u shumiswa ha maana arali u shumiswa ha maana ho tea uri hu kone u vha na u setsha
nbl,ukutloliswa kwamabeletho sekudlule isikhathi kulokha ukubelethwa komuntu kutloliswa sekuphele unyaka ngemva kokubelethwa ukutloliswa sekudlule isikhathi kungaziswa enyakeni munye kodwana kube ngaphasi kweminyaka elitjhumi nahlanu yobudala namkha ngemva kweminyaka elitjhumi nahlanu
tsn,fa e le gore ke nako ya go fetola oli ya diferenšiale le ya kerebokoso gona gakologelwa le go fetola difiletara tsa teng le tsona ela tlhoko gore thulaganyo ya haeteroleki e dirisa oli e e tshwanang mme o tlhole mo go dutlang le mo go yona thulaganyo e
tso,loko u lava ku hundza swofamba-hi-swona leswi nga ku kongoma muchayeri wa movha u fanele ku vona leswaku xifambo xa yena a xi ngheneleli eka ndlela leyi nga xineneni xa yena hi ndlela ya ku va a nga sivela kume ku vangela swifambo sweswo swi taka nghozi
sot,aforika borwa e sa ntse e tla ananela ka botlalo karolo ya bohlokwa e bapetsweng ke moporesidente wa mehleng wa anc wa mphato oliver tambo ya entseng motheo wa hore naha ena e be mohlala o motle wa tokoloho le demokerasi
eng,the activity of establishing and managing transfrontier conservation areas was approved as a pba in part ii of the ninth schedule pbos conducting this approved pba are eligible for approval to issue tax deductible receipts for donations received
tsn,mo letsatsing le re keteka diphitlhelelo tsa temokerasi le ditshwanelo le ditšhono tse jaanong re di itumelelang mo aforika borwa ya temokerasi e e sa tlhaoleng go ya ka lotso le bong ke letsatsi le re ka kopanang jaaka setšhaba go tswelela go aga aforika borwa eo rotlhe re ka ipelang ka yone
ven,vhana vho bebiwaho vha na hanga na meme ya mulomo zwo pharuwaho vha anzela u vha na thaidzo ya u a nge milomo yavho ya vha i songo paulukana na ningo ngauralo wana ha koni u mama nga mulomo nahone ha koni u mama zwavhui amu kana boelo
tsn,re motlotlo gobo re na le ditokololo tsa setlhopha sa babueledi ba tsheko ya boepapuso ya rivonia - lord joel joffe yo gajaana a nnang kwa london mmogo le moatlhodi arthur chaskalson re boa re gakologelwa le go akgola rre harry schwarz yo ka maswabi a hulereng mo bekeng e e fetileng
nso,mafapha ao a fiwago šedi ya pele a akaretša taolo ya meetse tšhilafalo ye e tshelago mellwane thekenolotši ya dijo mananeo a tsebo ya setšo dithekenolotši tša tshedimošo le dikgokagano taolo ya mobu le hiv aids
zul,makhosi asendlunkulu kwakuyisifiso somnyango ukuba uhlelo lokusiza amakhosi nemindeni yawo ngezindlu nangezindleko zokwelashwa lusheshe lusebenze wonke amalungiselelo asesimweni sokuphothulwa imigomo nemininingwane yomthetho nemibiko nokuhlela izimali kuthatha isikhathi eside
sot,matsatsi a mosebetsi matsatsi a mosebetsi a bolela matsatsi afe kapa afe ntle ho moqebelo sontaha kapa matsatsi a phomolo a setjhaba ho ya ka tlhaloso ya karolo ya ya molao wa matsatsi a phomolo a setjhaba wa molao wa nomoro
tsn,nte ke dirise tšhono eno go boa ke isa matshediso a rona go tswa botennye jwa pelo go puso mmogo le baagi ba haiti ka masetlapelo a dira-ga-di-bonwe a a ba wetseng re motlotlo gobo ditlhopha tsa rona tsa pholoso di kgonne go ya go thusa
nbl,sibawa uze ngaphambili neenghonghoyilo zakho i-ofisami itholakala eendaweni ezihlukahlukeneko zenarha begodu sinenomboro yomrhala engabhadalelwako ongayisebenzisela ukwenza iinghonghoyilo silindele ukuba nobudlelwano bokusebenza kanye nawe ukuqinisa intandoyenengi yomthethosisekelwethu
nso,tšweletša bohlatse bja minamamo wa ditseno tša r ka kgwedi go tšwa go sekhwama sa phenšene goba irrevocable retirement annuity goba go tšwa go ditseno tša go se be ka tlase ga dimilione tše r pele ga phokoletšo
ssw,temfundvo nekucecesha nekutfutfukisa kufundzisa nekucecesha bantfu umfundzisi wetikolo tikhungo temfundvo lephakeme njengemanyuvesi ematheknikoni and nemakolishi kufundzisa bantfwana labancane bokhewane
sot,c ha eba lekgotla le fetisa bili e fetotsweng bili e fetotsweng e lokela ho fetisetswa lekgotleng la naha mme ha lekgotla le fetisa bili e fetotsweng e lokela ho fetisetswa ho mopresidente hore a e ananele
tsn,bitsa motho mongwe le mongwe go tla go neelana ka sekwalwa tshedimosetso kgotsa ditatamente tse di tlhalosiwang mo go temaneng ya b kgotsa fa go tlhokega a romela ngwana kwa go ngaka mokgwa o o matshwanedi gore e lekanyetse dingwaga tsa gagwe
nbl,ukulalela ngokuzwela kungenelela ngaphakathi komkhumbulo womunye umuntu usebenzisa khona ukubona bese ubona izinto ngendlela umuntu lowo azibona ngakhona ukghone ukuzwisisa indlela yakhe nokuzwisisa indlela azizwa ngayo
ven,u anganelana na sisiteme dza nivho sa tsumbo ndivho ya ngwaniwapo i shumiswa yo angana na thekhinolodzhi ya tshizwino-zwino ya bayothekhinolodzhi kha zwa mishonga na dziwe sekhitha kha u engedzedza tshiimo tsha vhubveledzi
tso,vulawuri bya ndzhavuko lebyi xiximaka endlelo ya nawu wa xintu byi nga ha tirha hi ku landza milawu yihi na yihi leyi endliweke leyi tirhaka ehenhla ka swona na mintolovelo leswi katsaka na mihundzuluxo kumbe ku herisiwa ka milawu yeleyo kumbe mintolovelo yeleyo
ven,ri ṱuṱuwedzwa nga tshumisano ine ra khou i wana u bva kha sekhithara ya phuraivete sa zwe zwa sumbedziswa nga vhuḓiimiseli ha u shumisana na muvhuso kha kahedu ya ṱhogeo ya mishumo nga dziceo dza khamphani dza dzo ṅwaliswaho kha johannesburg securities exchange
eng,a witness in any proceedings before the tribunal is entitled to be paid in accordance with the tariff of allowances prescribed by the minister of justice and published by notice in the gazette in terms of section of the supreme court act act of
eng,explanatory memorandum to the protocol amending the double taxation convention between the government of the republic of south africa and the government of the united kingdom of great britain and northern ireland
tso,xana ndzawulo yi na yuniti leyi tirhanaka kumbe vatirhi vo karhi lava nyikiweke ntirho wo antswisa rihanyu ni vuhlayiseki well being bya vatirhi va yona loko swi ri tano kombisa nhlayo ya vatirhi lava khumbekaka eka ntirho lowu ni bajete ya lembe leyi va nga na yona ku endla ntirho lowu
tsn,molao wa taolo ya dithoto tse di aroganwang ka nako wa bo wa maikaelelo a molao ono ke go laola go amogiwa ga dikgatlhegelo tsa karogano ya dithoto ka nako tse di tsamaisiwang ke dikema tsa dithoto tsa karoganyo ya dithoto ka nako gammogo le go dira tlamelo ya merero e e malebana le tseo
zul,v izinyathelo eziyothathwa yisikhungo noma ngumuntu ogidlabezwe amandla okuphenya noma okwenza umsebenzi wokuqondisa izigwegwe elungeni eligunyaziwe noma isisebenzi sakhe esitholakale siphambene noma sehluleke ukuhlangabezana nalo mthetho imithetho yesikhungo imithetho yesikhashana noma imilayelo
tsn,tšhata ya batlhokofadiwa le tokomane e patagantsweng ya maemo ke didirisiwa tsa botlhokwa tse di tlhalosang le go kitlanya ditshwanelo le ditlamego tse di amanang le ditirelo tsa batlhokofadiwa le bafalodi ba bosenyi mo aforika borwa
